Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity L_1312	LFQ intensity L_1313	LFQ intensity L_1326	LFQ intensity L_1331	LFQ intensity L_1488	LFQ intensity L_1492	LFQ intensity L_1503	LFQ intensity L_1506	LFQ intensity P_1311	LFQ intensity P_1315	LFQ intensity P_1316	LFQ intensity P_1317	LFQ intensity P_1323	LFQ intensity P_1497	LFQ intensity P_1501	LFQ intensity P_1502	LFQ intensity P_1505	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
CON__P04264	CON__P04264	NA	29	29	21	1779900000	1891900000	2347700000	1389600000	1052000000	2303400000	1485300000	2046500000	2116200000	1974700000	1487000000	1680900000	1485900000	1594200000	2301000000	2134100000	3413000000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3KNV1;CON__P08729	CON__Q3KNV1;CON__P08729	;	4	2	2	0	0	19110000	0	0	0	7671000	0	8053400	8460800	0	6819000	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	;;	13	8	6	19758000	16539000	23360000	15416000	9741000	20282000	0	26449000	0	16530000	0	22177000	0	29213000	16355000	18178000	31798000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P13645;XP_005668904.1;XP_003131508.1;CON__P02535-1;CON__Q7Z3Y7;CON__Q148H6;CON__Q7Z3Z0;CON__Q7Z3Y8;NP_001231551.1;XP_003131512.1;CON__Q2M2I5;XP_020922673.1;CON__A2A5Y0;CON__Q92764;XP_020922672.1;CON__Q14532;XP_003131532.3;CON__A2AB72;XP_003131482.3;CON__Q497I4;CON__O76015;XP_003131480.2;CON__O76013;CON__Q7Z3Y9;CON__O76014;CON__REFSEQ:XP_986630	CON__P13645	NA	25	24	19	1274300000	1645900000	1829100000	1134100000	681260000	1391100000	1099800000	1227900000	1613700000	1456100000	1095900000	1241300000	1017500000	1287600000	2264700000	1467300000	2665600000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P13647;XP_003126221.1;XP_020947348.1;XP_020947347.1	CON__P13647;XP_003126221.1	; keratin, type II cytoskeletal 5 [Sus scrofa]	17	12	2	57752000	64175000	71724000	44783000	31481000	78377000	47341000	58015000	51653000	64619000	45883000	57538000	48073000	71162000	69943000	74544000	105350000	NA	NA	+	KRT5	NA;KRT5;NA;NA;NA	cytoskeleton organization;epidermis development;keratinization;cornification;hemidesmosome assembly	GO:000701; GO:000854; GO:003142; GO:007026; GO:003158	cytosol;nucleus;cytoplasm;keratin filament;extracellular exosome;membrane;plasma membrane	GO:000582; GO:000563; GO:000573; GO:004509; GO:007006; GO:001602; GO:000588	"NA"	"NA"	scaffold protein binding;protein binding;structural constituent of cytoskeleton	GO:009711; GO:000551; GO:000520
CON__P15497	CON__P15497	NA	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404130000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P15636	CON__P15636	NA	12	12	12	12897000000	5847500000	6039800000	5990000000	6159500000	5728600000	5700500000	5274500000	9479500000	10789000000	10022000000	10149000000	9864500000	13926000000	14045000000	12393000000	14967000000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P35527	CON__P35527	NA	23	23	23	575960000	437280000	820980000	423880000	342040000	902870000	431260000	594760000	385000000	702940000	463820000	509420000	489260000	470780000	391850000	668620000	1028600000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P35908;NP_001092053.1;XP_020947353.1	CON__P35908	NA	28	24	20	303770000	278570000	454160000	278530000	180770000	298440000	218560000	258000000	325500000	302940000	208480000	242920000	294890000	217410000	725400000	313600000	589160000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P41361	CON__P41361	NA	7	2	2	0	0	11030000	14346000	9721800	0	11527000	9698000	0	0	9194900	0	0	0	10663000	0	16528000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
NP_001123442.1;CON__P62894;XP_013841086.1	NP_001123442.1;CON__P62894	cytochrome c [Sus scrofa];	7	7	7	234900000	231680000	267010000	217100000	215480000	189670000	210590000	285280000	200470000	216620000	206660000	187400000	216480000	176010000	170560000	201930000	203340000	NA	NA	+	CYCS	CYCS;NA;NA;NA;NA	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c;mitochondrial electron transport, ubiquinol to cytochrome c;mitochondrion organization;cellular respiration;apoptotic process;protein dephosphorylation;cellular response to oxidative stress	GO:000863; GO:000612; GO:000700; GO:004533; GO:000691; GO:000647; GO:003459	mitochondrial inner membrane;respiratory chain;nucleus;mitochondrion;mitochondrial intermembrane space;protein phosphatase type 2A complex;cytosol	GO:000574; GO:007046; GO:000563; GO:000573; GO:000575; GO:000015; GO:000582	 Sulfur metabolism; p53 signaling pathway; Apoptosis; Tuberculosis; Toxoplasmosis; Influenza A; Pathways in cancer; Non-alcoholic fatty liver disease (NAFLD); Parkinson's disease; Legionellosis; Metabolic pathways; Colorectal cancer; Viral myocarditis; Small cell lung cancer	hsa0092; hsa0411; hsa0421; hsa0515; hsa0514; hsa0516; hsa0520; hsa0493; hsa0501; hsa0513; hsa0110; hsa0521; hsa0541; hsa0522	protein binding;metal ion binding;heme binding;protein serine/threonine phosphatase activity;electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity	GO:000551; GO:004687; GO:002003; GO:000472; GO:004515
NP_001001266.1;CON__P67983	NP_001001266.1;CON__P67983	metallothionein-1A [Sus scrofa];	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	MT1A	MT1A;NA;NA;NA;NA	response to metal ion;cellular response to copper ion;negative regulation of growth;cellular zinc ion homeostasis;detoxification of copper ion;cellular response to cadmium ion;cellular response to zinc ion	GO:001003; GO:007128; GO:004592; GO:000688; GO:001027; GO:007127; GO:007129	nucleus;perinuclear region of cytoplasm;cytosol;cytoplasm	GO:000563; GO:004847; GO:000582; GO:000573	 Mineral absorption	hsa0497	metal ion binding;protein binding;zinc ion binding	GO:004687; GO:000551; GO:000827
CON__Q04695	CON__Q04695	NA	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8167200	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	;	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129140000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3SX09	CON__Q3SX09	NA	4	3	1	1434000000	1311200000	1241800000	1783900000	1622700000	1266700000	1971800000	1630300000	1064800000	1085700000	968310000	1097000000	862560000	1826000000	1650600000	2329000000	2737300000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3SX14	CON__Q3SX14	NA	12	12	12	427830000	195670000	417400000	334620000	285950000	289740000	272370000	228710000	211040000	278410000	254080000	337250000	294970000	326270000	253780000	298040000	346280000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
XP_005660265.1;CON__Q3SX28	XP_005660265.1;CON__Q3SX28	tropomyosin beta chain isoform X3 [Sus scrofa];	16	2	0	31407000	20747000	44086000	34864000	27584000	28797000	19944000	16302000	27670000	44501000	43454000	29347000	28218000	32894000	28708000	23945000	42065000	NA	NA	+	TPM2	TPM2;NA;NA;NA;NA	muscle contraction;actin filament organization;regulation of ATPase activity;muscle filament sliding	GO:000693; GO:000701; GO:004346; GO:003004	muscle thin filament tropomyosin;actin cytoskeleton;cytosol;actin filament	GO:000586; GO:001562; GO:000582; GO:000588	 Hypertrophic cardiomyopathy (HCM); Dilated cardiomyopathy; Cardiac muscle contraction	hsa0541; hsa0541; hsa0426	actin filament binding;structural constituent of muscle;identical protein binding;protein heterodimerization activity;actin binding	GO:005101; GO:000830; GO:004280; GO:004698; GO:000377
CON__Q5D862	CON__Q5D862	NA	3	3	3	5986200	7556200	8221400	8043500	0	6001000	5236200	9322300	15119000	6999600	5428500	5172700	0	4258500	9172900	8801700	14824000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q86YZ3	CON__Q86YZ3	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10131000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
NP_001001260.1	NP_001001260.1	peptidoglycan recognition protein 1 precursor [Sus scrofa]	5	5	5	0	0	25707000	25831000	27722000	25419000	61555000	55803000	32633000	29162000	25357000	45460000	74125000	20727000	74227000	78214000	66589000	NA	NA	NA	PGLYRP1	PGLYRP1;NA;NA;NA;NA	detection of bacterium;negative regulation of interferon-gamma production;neutrophil degranulation;negative regulation of inflammatory response;defense response to Gram-positive bacterium;antimicrobial humoral response;negative regulation of natural killer cell differentiation involved in immune response;growth of symbiont in host;innate immune response;antimicrobial humoral immune response mediated by antimicrobial peptide;positive regulation of cytolysis in other organism;pattern recognition receptor signaling pathway;peptidoglycan catabolic process;killing of cells of other organism	GO:001604; GO:003268; GO:004331; GO:005072; GO:005083; GO:001973; GO:003282; GO:004411; GO:004508; GO:006184; GO:005171; GO:000222; GO:000925; GO:003164	extracellular region;specific granule lumen;tertiary granule lumen;extracellular exosome;phagocytic vesicle lumen;extracellular space	GO:000557; GO:003558; GO:190472; GO:007006; GO:009701; GO:000561	"NA"	"NA"	peptidoglycan receptor activity;zinc ion binding;N-acetylmuramoyl-L-alanine amidase activity;peptidoglycan binding	GO:001601; GO:000827; GO:000874; GO:004283
NP_001001265.1	NP_001001265.1	high affinity immunoglobulin epsilon receptor subunit gamma precursor [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11070000	NA	NA	NA	FCER1G	FCER1G;NA;NA;NA;NA	defense response to bacterium;protein homooligomerization;positive regulation of interleukin-6 production;neutrophil degranulation;antigen processing and presentation of exogenous peptide antigen via MHC class II;neutrophil activation involved in immune response;integrin-mediated signaling pathway;regulation of platelet activation;negative regulation of mast cell apoptotic process;positive regulation of interleukin-10 production;mast cell activation;interleukin-3-mediated signaling pathway;positive regulation of type III hypersensitivity;positive regulation of type I hypersensitivity;blood coagulation;osteoclast differentiation;positive regulation of mast cell cytokine production;Fc-epsilon receptor signaling pathway;positive regulation of type IIa hypersensitivity;platelet activation;neutrophil chemotaxis;innate immune response;positive regulation of phagocytosis;positive regulation of protein localization to cell surface;Fc receptor mediated stimulatory signaling pathway;protein localization to plasma membrane;stimulatory C-type lectin receptor signaling pathway;positive regulation of mast cell degranulation;cellular response to low-density lipoprotein particle stimulus;T cell differentiation involved in immune response;serotonin secretion by platelet;immunoglobulin mediated immune response;interleukin-2 production;phagocytosis, engulfment;antigen processing and presentation of exogenous peptide antigen via MHC class I;receptor internalization;leukocyte migration	GO:004274; GO:005126; GO:003275; GO:004331; GO:001988; GO:000228; GO:000722; GO:001054; GO:003302; GO:003273; GO:004557; GO:003815; GO:000180; GO:000181; GO:000759; GO:003031; GO:003276; GO:003809; GO:000179; GO:003016; GO:003059; GO:004508; GO:005076; GO:200001; GO:000243; GO:007265; GO:000222; GO:004330; GO:007140; GO:000229; GO:000255; GO:001606; GO:003262; GO:000691; GO:004259; GO:003162; GO:005090	external side of plasma membrane;plasma membrane;ficolin-1-rich granule membrane;Fc-epsilon receptor I complex;tertiary granule membrane;cell surface	GO:000989; GO:000588; GO:010100; GO:003299; GO:007082; GO:000998	 Platelet activation; Asthma; Tuberculosis; Sphingolipid signaling pathway; Fc epsilon RI signaling pathway; Natural killer cell mediated cytotoxicity	hsa0461; hsa0531; hsa0515; hsa0407; hsa0466; hsa0465	protein homodimerization activity;IgG binding;protein binding;IgE receptor activity	GO:004280; GO:001986; GO:000551; GO:001976
NP_001001534.1	NP_001001534.1	ryanodine receptor 1 [Sus scrofa]	1	1	1	20121000	0	18169000	33643000	19151000	13179000	14611000	0	0	17677000	28326000	41618000	14385000	23373000	21751000	23048000	25742000	NA	NA	NA	RYR1	RYR1;NA;NA;NA;NA	ion transmembrane transport;release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;protein homotetramerization;calcium ion transport;skeletal muscle fiber development;cellular response to calcium ion;regulation of cardiac conduction;ossification involved in bone maturation;response to hypoxia;skin development;release of sequestered calcium ion into cytosol;muscle contraction;response to caffeine;cellular response to caffeine;outflow tract morphogenesis;regulation of cytosolic calcium ion concentration	GO:003422; GO:001480; GO:005128; GO:000681; GO:004874; GO:007127; GO:190377; GO:004393; GO:000166; GO:004358; GO:005120; GO:000693; GO:003100; GO:007131; GO:000315; GO:005148	cell cortex;junctional sarcoplasmic reticulum membrane;Z disc;calcium channel complex;smooth endoplasmic reticulum;plasma membrane;terminal cisterna;integral component of organelle membrane;cytoplasm;junctional membrane complex;sarcoplasmic reticulum membrane;I band;sarcolemma;extracellular exosome;cytoplasmic vesicle membrane;sarcoplasmic reticulum;ryanodine receptor complex	GO:000593; GO:001470; GO:003001; GO:003470; GO:000579; GO:000588; GO:001480; GO:003130; GO:000573; GO:003031; GO:003301; GO:003167; GO:004238; GO:007006; GO:003065; GO:001652; GO:199042	 Calcium signaling pathway; Long-term depression; Oxytocin signaling pathway; Circadian entrainment	hsa0402; hsa0473; hsa0492; hsa0471	ATP binding;protease binding;protein binding;calcium-release channel activity;ryanodine-sensitive calcium-release channel activity;voltage-gated calcium channel activity;calcium channel activity;calcium-induced calcium release activity;calcium ion binding	GO:000552; GO:000202; GO:000551; GO:001527; GO:000521; GO:000524; GO:000526; GO:004876; GO:000550
NP_001001535.1;XP_020930326.1	NP_001001535.1;XP_020930326.1	desmin [Sus scrofa]; desmin isoform X1 [Sus scrofa]	18	15	15	172990000	108290000	166350000	162130000	137560000	145820000	131610000	144820000	114030000	127510000	126660000	103020000	106450000	123620000	123920000	115240000	128300000	NA	NA	NA	DES	DES;DES;NA;NA;NA	intermediate filament organization;cytoskeleton organization;muscle filament sliding;muscle contraction;regulation of heart contraction	GO:004510; GO:000701; GO:003004; GO:000693; GO:000801	cytosol;nucleus;neuromuscular junction;intermediate filament;Z disc;sarcolemma;intercalated disc;fascia adherens;extracellular exosome;cardiac myofibril;intermediate filament cytoskeleton	GO:000582; GO:000563; GO:003159; GO:000588; GO:003001; GO:004238; GO:001470; GO:000591; GO:007006; GO:009751; GO:004511	 Dilated cardiomyopathy; Hypertrophic cardiomyopathy (HCM)	hsa0541; hsa0541	cytoskeletal protein binding;protein binding;structural constituent of cytoskeleton;identical protein binding	GO:000809; GO:000551; GO:000520; GO:004280
NP_001001539.1;XP_020934157.1;XP_020934156.1	NP_001001539.1	aldose reductase [Sus scrofa]	11	9	9	122740000	85910000	79732000	82037000	87158000	89496000	94397000	91042000	81001000	87533000	63729000	75827000	94233000	99869000	79207000	84150000	86850000	NA	NA	NA	AKR1B1	AKR1B1;NA;NA;NA;NA	daunorubicin metabolic process;naphthalene metabolic process;metanephric collecting duct development;electron transport chain;norepinephrine metabolic process;oxidation-reduction process;renal water homeostasis;fructose biosynthetic process;regulation of urine volume;cellular response to methylglyoxal;negative regulation of apoptotic process;doxorubicin metabolic process;cellular hyperosmotic salinity response;retinoid metabolic process;positive regulation of JAK-STAT cascade;positive regulation of smooth muscle cell proliferation;maternal process involved in female pregnancy;response to thyroid hormone;response to water deprivation;stress-activated protein kinase signaling cascade;carbohydrate metabolic process;inner medullary collecting duct development;cellular response to peptide;sorbitol biosynthetic process;C21-steroid hormone biosynthetic process;tissue homeostasis	GO:004459; GO:001893; GO:007220; GO:002290; GO:004241; GO:005511; GO:000309; GO:004637; GO:003580; GO:009723; GO:004306; GO:004459; GO:007147; GO:000152; GO:004642; GO:004866; GO:006013; GO:009706; GO:000941; GO:003109; GO:000597; GO:007206; GO:190165; GO:000606; GO:000670; GO:000189	mast cell granule;Schmidt-Lanterman incisure;Schwann cell microvillus;extracellular exosome;nucleoplasm;paranodal junction;extracellular space;cytosol;cell projection cytoplasm;perinuclear region of cytoplasm	GO:004262; GO:004322; GO:009745; GO:007006; GO:000565; GO:003301; GO:000561; GO:000582; GO:003283; GO:004847	 Metabolic pathways; Pentose and glucuronate interconversions; Glycerolipid metabolism; Fructose and mannose metabolism	hsa0110; hsa0004; hsa0056; hsa0005	oxidoreductase activity;electron carrier activity;retinal dehydrogenase activity;glyceraldehyde oxidoreductase activity;alditol:NADP+ 1-oxidoreductase activity;alcohol dehydrogenase (NADP+) activity	GO:001649; GO:000905; GO:000175; GO:004379; GO:000403; GO:000810
NP_001001542.1	NP_001001542.1	sodium/potassium-transporting ATPase subunit beta-1 [Sus scrofa]	7	7	7	170900000	209180000	185920000	187600000	230170000	190640000	210930000	195520000	212860000	164860000	169310000	159650000	174160000	178940000	192120000	183980000	172180000	NA	NA	NA	ATP1B1	ATP1B1;NA;NA;NA;NA	cellular potassium ion homeostasis;ion transmembrane transport;response to hypoxia;sodium ion export from cell;leukocyte migration;protein localization to plasma membrane;ATP metabolic process;membrane repolarization during cardiac muscle cell action potential;positive regulation of potassium ion transmembrane transporter activity;positive regulation of potassium ion import;relaxation of cardiac muscle;establishment or maintenance of transmembrane electrochemical gradient;potassium ion import across plasma membrane;regulation of cardiac conduction;cellular calcium ion homeostasis;cellular sodium ion homeostasis;protein transport into plasma membrane raft;membrane repolarization;positive regulation of sodium ion export from cell;cell adhesion;regulation of gene expression;protein stabilization;positive regulation of ATPase activity;regulation of cardiac muscle contraction by calcium ion signaling;cardiac muscle contraction;cell communication by electrical coupling involved in cardiac conduction	GO:003000; GO:003422; GO:000166; GO:003637; GO:005090; GO:007265; GO:004603; GO:008601; GO:190101; GO:190328; GO:005511; GO:001024; GO:199057; GO:190377; GO:000687; GO:000688; GO:004486; GO:008600; GO:190327; GO:000715; GO:001046; GO:005082; GO:003278; GO:001088; GO:006004; GO:008606	plasma membrane;extracellular exosome;sodium:potassium-exchanging ATPase complex;extracellular vesicle;apical plasma membrane;caveola;sarcolemma;intercalated disc;membrane	GO:000588; GO:007006; GO:000589; GO:190356; GO:001632; GO:000590; GO:004238; GO:001470; GO:001602	 Thyroid hormone synthesis; Pancreatic secretion; cAMP signaling pathway; Cardiac muscle contraction; Thyroid hormone signaling pathway; Aldosterone-regulated sodium reabsorption	hsa0491; hsa0497; hsa0402; hsa0426; hsa0491; hsa0496	ATPase activity;MHC class II protein complex binding;sodium:potassium-exchanging ATPase activity;potassium ion binding;sodium ion binding;drug binding;protein binding;protein kinase binding;ATPase binding;protein C-terminus binding;ATP binding;ATPase activator activity	GO:001688; GO:002302; GO:000539; GO:003095; GO:003140; GO:000814; GO:000551; GO:001990; GO:005111; GO:000802; GO:000552; GO:000167
XP_013842818.1;NP_001001587.1	XP_013842818.1;NP_001001587.1	40S ribosomal protein S28 isoform X1 [Sus scrofa]; 40S ribosomal protein S28 [Sus scrofa]	2	2	2	134860000	117200000	116410000	127020000	125450000	126010000	130720000	129200000	109400000	114970000	107880000	102870000	132790000	127170000	140080000	125770000	159070000	NA	NA	NA	RPS28	RPS28;RPS28;NA;NA;NA	rRNA processing;ribosomal small subunit assembly;cytoplasmic translation;ribosomal small subunit biogenesis;ribosome biogenesis;SRP-dependent cotranslational protein targeting to membrane;maturation of SSU-rRNA;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;translation;viral transcription	GO:000636; GO:000002; GO:000218; GO:004227; GO:004225; GO:000661; GO:003049; GO:000018; GO:000641; GO:001908	extracellular exosome;cytoplasmic side of rough endoplasmic reticulum membrane;cytosol;polysomal ribosome;cytosolic small ribosomal subunit;nucleoplasm;small ribosomal subunit	GO:007006; GO:009855; GO:000582; GO:004278; GO:002262; GO:000565; GO:001593	 Ribosome	hsa0301	protein binding;RNA binding;structural constituent of ribosome	GO:000551; GO:000372; GO:000373
XP_020935190.1;XP_013846371.1;XP_013846370.1;NP_001001630.1	XP_020935190.1;XP_013846371.1;XP_013846370.1;NP_001001630.1	PDZ domain-containing protein 11 isoform X2 [Sus scrofa]; PDZ domain-containing protein 11 isoform X2 [Sus scrofa]; PDZ domain-containing protein 11 isoform X1 [Sus scrofa]; PDZ domain-containing protein 11 [Sus scrofa]	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5006900	0	0	NA	NA	NA	PDZD11	PDZD11;PDZD11;PDZD11;PDZD11;NA	antimicrobial humoral response;pantothenate metabolic process;protein localization to basolateral plasma membrane;biotin metabolic process;maintenance of epithelial cell apical/basal polarity;neurotransmitter secretion;transmembrane transport;ion transmembrane transport	GO:001973; GO:001593; GO:190336; GO:000676; GO:004519; GO:000726; GO:005508; GO:003422	extracellular region;presynapse;basolateral plasma membrane;synapse;cell-cell junction;cytosol	GO:000557; GO:009879; GO:001632; GO:004520; GO:000591; GO:000582	"NA"	"NA"	protein binding	GO:000551
